No,Data,State,Mites,Parasites,Diseases,Pesticides,Other,Unknown
10,d,Alabama,22.3,10.1,8.8,9.5,1.7,5.2
10,d,Arizona,61.6,4.2,2.3,1.6,4.1,0.1
10,d,Arkansas,37.5,29.2,26.6,31,24.1,0.4
10,d,California,47.9,14.1,7.4,17,17.1,6.3
10,d,Colorado,30.2,0.7,0.2,20,15.5,5.3
10,d,Connecticut,36.4,2.8,-,0.6,1.6,1.6
10,d,Florida,41.4,16.8,7.5,10.4,7.6,26.2
10,d,Georgia,56.8,15.1,12.3,15.3,3.6,4.6
10,d,Hawaii,57.2,66.1,0.1,-,0.1,-
10,d,Idaho,34,16.9,17.7,14.9,1.7,0.2
10,d,Illinois,28.9,10.2,0.8,7.9,4.9,4.9
10,d,Indiana,23.5,5.6,1.7,0.7,3.9,8
10,d,Iowa,61,25.5,12.3,32.6,17.9,5.5
10,d,Kansas,17.9,7.7,3.3,8.6,0.6,10.2
10,d,Kentucky,54.3,24.4,0.5,6.5,5.6,19.1
10,d,Louisiana,31.5,26.6,0.3,0.6,2.1,10.4
10,d,Maine,24.9,6.2,0.4,-,0.6,-
10,d,Maryland,7.9,3.1,0.2,1.1,1.8,7.8
10,d,Massachusetts,13.2,1.2,6.7,2.7,1.5,0.3
10,d,Michigan,53.8,13.6,5.3,23.6,1.5,2
10,d,Minnesota,62.9,4,4.2,39.8,7.2,3.1
10,d,Mississippi,19.3,6.1,1.4,1.5,1.5,4.1
10,d,Missouri,16.7,14.2,1,0.1,4.2,1.6
10,d,Montana,54.2,4.1,3.1,5.9,5.3,4.1
10,d,Nebraska,26.6,3.3,4.1,2.1,4.3,11.5
10,d,New Jersey,18.9,6.8,4.4,4.4,3.3,-
10,d,New Mexico,86.1,0.3,-,10.3,10,1
10,d,New York,22.3,12.7,8,5.4,0.4,2.6
10,d,North Carolina,64.2,16.3,3.9,1.5,11.7,6.7
10,d,North Dakota,41.7,16.5,0.2,0.5,0.9,0.3
10,d,Ohio,45.3,23.3,7.1,6.4,8.4,2.9
10,d,Oklahoma,1,0.5,-,-,(Z),0.2
10,d,Oregon,50.6,23.3,28,14.2,3.9,1.8
10,d,Pennsylvania,44.7,5.4,1,6.9,2.9,2.3
10,d,South Carolina,31.6,19.4,14.6,0.2,1.9,1.9
10,d,South Dakota,17.3,0.1,4.1,4.4,7.5,2.7
10,d,Tennessee,22.8,18.9,0.2,2,7.5,15.3
10,d,Texas,33.9,21.4,7.1,2.9,3.8,5.2
10,d,Utah,24.3,8.9,11,9.2,9.4,19.8
10,d,Vermont,96.6,44.5,22.1,55.2,5.7,1.8
10,d,Virginia,20.9,20.6,1.3,7.5,6.9,3.9
10,d,Washington,21.7,6,(Z),0.3,0.4,0.2
10,d,West Virginia,60.1,5.3,2.4,0.1,7.8,3.6
10,d,Wisconsin,53.1,36.9,33.1,22.8,15.3,15.2
10,d,Wyoming,38,2.4,8.4,5.9,8.1,0.6