State,"Winter_2018
Lost","Spring_2018
Lost",2018_total
Alabama,820,810,1630
Arizona,6000,2600,8600
Arkansas,7500,1500,9000
California,220000,70000,290000
Colorado,4900,2300,7200
Connecticut,140,120,260
Florida,35000,48000,83000
Georgia,25000,16000,41000
Hawaii,1600,280,1880
Idaho,22000,4800,26800
Illinois,2400,2100,4500
Indiana,1000,1800,2800
Iowa,1300,4300,5600
Kansas,950,170,1120
Kentucky,1600,450,2050
Louisiana,3600,970,4570
Maine,240,1100,1340
Maryland,1500,370,1870
Massachusetts,1000,260,1260
Michigan,8000,6000,14000
Minnesota,3900,6500,10400
Mississippi,2000,5000,7000
Missouri,1400,390,1790
Montana,140,4800,4940
Nebraska,430,2700,3130
New Jersey,730,270,1000
New Mexico,3900,50,3950
New York,3700,3300,7000
North Carolina,4200,1200,5400
North Dakota,3200,11000,14200
Ohio,4000,1100,5100
Oklahoma,3700,1600,5300
Oregon,4100,3400,7500
Pennsylvania,1500,1100,2600
South Carolina,1800,1300,3100
South Dakota,390,12000,12390
Tennessee,3000,1200,4200
Texas,22000,31000,53000
Utah,620,1700,2320
Vermont,570,520,1090
Virginia,2100,490,2590
Washington,4600,6500,11100
West Virginia,2000,490,2490
Wisconsin,4600,6000,10600
Wyoming,220,2200,2420
