,State,"Winter_2016
No_of_colonies","Winter_2016
Lost","Winter_2016
Per_lost","Winter_2016
Added","Winter_2016
Renovated","Winter_2016
Per_renovated","Spring_2016
No_of_colonies","Spring_2016
lost","Spring_2016
Per_lost","Spring_2016
Added","Spring_2016
Renovated","Spring_2016
Per_renovated","Summer_2016
No_of_colonies","Summer_2016
Lost","Summer_2016
Per_lost","Summer_2016
Added","Summer_2016
Renovated","Summer_2016
Per_renovated","Fall_2016
No_of_colonies","Fall_2016
Lost","Fall_2016
Per_lost","Fall_2016
Added","Fall_2016
Renovated","Fall_2016
Per_renovated"
0,Alabama,7500,1700,23,2100,90,1,8000,930,12,1200,690,9,8000,1200,15,440,50,1,7000,610,9,50,10,0
1,Arizona,30000,4700,16,3500,150,1,22000,3700,16,14000,1600,7,30000,6000,19,3200,2600,8,29000,6500,21,4600,3100,10
2,Arkansas,27000,5000,19,5000,1100,4,24000,3400,14,12000,1600,7,32000,1500,5,270,60,(Z),28000,2500,9,20,10,0
3,California,1130000,200000,14,210000,139000,10,1110000,108000,9,240000,185000,16,740000,82000,10,33000,78000,10,770000,205000,15,40000,35000,3
4,Colorado,5000,750,9,1700,10,0,9500,1800,6,9000,680,2,33000,6500,18,1100,740,2,30000,4500,15,2500,0,0
5,Connecticut,2700,270,10,70,10,0,2500,100,4,390,60,2,3100,270,9,890,180,6,3100,240,8,0,0,0
6,Florida,275000,40000,14,49000,15500,5,240000,29000,12,43000,21000,9,200000,25000,11,62000,14500,7,255000,41000,14,31000,11500,4
7,Georgia,100000,15500,16,36000,3200,3,108000,11000,10,17500,3600,3,102000,13000,13,12500,2300,2,96000,11000,10,12000,450,0
8,Hawaii,15000,280,2,570,530,4,13500,830,6,870,-,-,13500,600,4,430,820,6,13500,970,7,60,840,6
9,Idaho,91000,8500,9,5500,3300,3,60000,6000,8,19000,5500,7,79000,13000,10,1900,2800,2,121000,15500,11,5000,420,0
10,Illinois,8500,1400,15,860,40,0,9000,740,8,2200,380,4,11000,1300,12,850,310,3,9000,720,8,0,0,0
11,Indiana,6500,770,12,30,0,0,4300,220,3,2700,900,13,9500,600,6,450,550,6,7500,1200,16,20,0,0
12,Iowa,13000,2900,22,90,0,0,10500,2400,9,26000,760,3,50000,5500,11,10500,2400,5,54000,4700,9,0,20,0
13,Kansas,5000,1100,22,1400,100,2,4700,960,16,3000,900,15,8000,2600,33,310,190,2,5000,1300,26,200,0,0
14,Kentucky,6500,1300,20,390,40,1,5500,450,8,2100,270,5,7500,1000,13,900,230,3,7500,950,13,60,80,1
15,Louisiana,54000,11000,20,9500,2600,5,52000,4300,8,10000,9500,18,51000,7000,12,2600,2100,4,48000,2000,4,250,340,1
16,Maine,2200,170,5,0,0,0,3600,4200,17,510,560,2,5500,420,8,240,140,3,3500,280,8,0,0,0
17,Maryland,7500,820,11,1200,10,0,8000,320,4,2800,400,4,7000,200,3,400,20,(Z),7500,500,5,20,30,0
18,Massachusetts,3000,370,12,1200,140,5,4200,300,4,1100,440,5,9500,530,6,450,40,(Z),8000,740,9,0,0,0
19,Michigan,25000,5000,12,2300,80,0,40000,7500,7,13500,3200,3,108000,15000,14,11000,9500,9,101000,12500,12,10,130,0
20,Minnesota,36000,5500,14,6000,0,0,27000,13000,10,24000,4200,3,132000,26000,19,1300,1900,1,113000,13500,12,0,0,0
21,Mississippi,21000,7500,15,48000,25000,50,85000,3700,4,9000,61000,68,19000,3300,17,750,740,4,17500,2400,8,330,60,0
22,Missouri,10000,1300,13,5500,420,4,12000,770,6,1800,730,6,13500,650,5,480,170,1,9000,590,7,1400,640,7
23,Montana,16500,900,1,24000,0,0,62000,7000,4,25000,13500,9,147000,11500,7,4100,6500,4,124000,16000,13,2700,0,0
24,Nebraska,11000,720,4,510,0,0,19500,6000,14,8000,28000,65,45000,8500,18,390,27000,57,37000,4300,12,190,0,0
25,New Jersey,6000,1000,17,80,20,0,4200,1500,8,1900,110,1,18000,270,2,120,80,(Z),12000,340,3,400,0,0
26,New Mexico,6000,1700,26,1400,30,1,6500,1400,22,2700,100,2,6500,1100,17,2000,1000,15,7000,1600,23,1100,20,0
27,New York,31000,4200,13,970,600,2,31000,4000,9,13500,1500,3,56000,10000,18,1900,800,1,48000,9000,18,240,130,0
28,North Carolina,18500,2600,11,1100,230,1,23000,1600,7,10000,550,2,25000,1400,6,1400,1200,5,25000,5500,22,220,50,0
29,North Dakota,89000,8500,6,4600,0,0,110000,27000,5,23000,95000,18,510000,71000,13,25000,104000,19,385000,44000,11,13500,2500,1
30,Ohio,16500,2900,18,760,50,0,14000,1700,10,6000,1100,7,21000,1600,8,980,630,3,19500,2100,11,20,140,1
31,Oklahoma,13500,3300,24,4800,570,4,12000,310,2,4000,10000,77,3700,560,15,30,30,1,3100,2700,6,120,30,0
32,Oregon,68000,2900,3,3800,1300,1,77000,4300,3,19000,16000,12,107000,7500,7,2900,4300,4,98000,9500,8,1500,1000,1
33,Pennsylvania,12500,2900,23,480,170,1,11000,1300,9,6500,1100,8,19000,1300,6,680,780,4,21000,3100,15,120,180,1
34,South Carolina,16500,3500,21,3200,380,2,12500,1300,10,2200,410,3,13000,920,7,990,50,(Z),12000,1300,8,760,370,2
35,South Dakota,47000,10500,13,1600,0,0,51000,11000,6,15000,13000,7,178000,25000,13,4200,9500,5,146000,11000,8,0,2400,2
36,Tennessee,9000,1700,19,180,70,1,8000,580,7,3900,200,3,10000,950,10,340,290,3,9000,840,9,120,10,0
37,Texas,240000,30000,9,126000,49000,15,340000,36000,10,74000,54000,15,129000,12000,8,12500,810,1,136000,39000,13,2200,650,0
38,Utah,12000,1900,13,1400,50,0,14500,4800,19,12000,7000,28,27000,3200,10,1200,120,(Z),30000,1600,5,440,50,0
39,Vermont,5500,410,7,0,0,0,5000,20,(Z),480,30,(Z),6500,400,6,170,50,1,6500,260,4,20,10,0
40,Virginia,6500,1100,17,560,70,1,6000,230,4,2200,480,7,8000,810,10,460,360,5,7000,730,10,230,10,0
41,Washington,77000,13500,9,5500,1200,1,91000,6000,4,21000,11500,8,57000,5000,7,7500,2000,3,65000,9000,9,3100,130,0
42,West Virginia,6500,1700,21,0,0,0,7000,990,14,2600,160,2,7500,190,3,130,220,3,7500,1000,13,80,60,1
43,Wisconsin,20000,3100,15,530,0,0,18500,5500,7,17500,3600,5,71000,12000,16,880,640,1,59000,7500,13,10,20,0
44,Wyoming,2700,340,5,440,0,0,6500,2600,10,7500,580,2,32000,7000,18,1800,1000,3,25000,2200,8,50,0,0
