No,Data,State,Mites,Parasites,Diseases,Pesticides,Other,Unknown
23,d,Alabama,23.6,25.5,1.2,13.1,11.5,2.1
23,d,Arizona,48.8,7.3,33.2,0.8,14.5,3.7
23,d,Arkansas,35.5,16,0.9,2.8,11.4,16.6
23,d,California,41.9,10.2,11.2,13.8,9.1,5.1
23,d,Colorado,42.8,(Z),13.1,3.7,4.3,0.4
23,d,Connecticut,11.1,0.9,0.4,0.8,0.8,0.4
23,d,Florida,45,27.6,9.7,15.6,10.1,21.1
23,d,Georgia,53,25.6,13.9,14.8,31.6,9.6
23,d,Hawaii,59.8,64,0.5,-,0.2,0.2
23,d,Idaho,50.8,4,3.2,18,4,4.1
23,d,Illinois,13.8,7.9,6.7,6.6,9.9,2.4
23,d,Indiana,78.9,3.5,0.4,4.5,1.3,1.1
23,d,Iowa,12.7,9.3,0.9,7.9,8.4,0.3
23,d,Kansas,42.8,31.6,1.3,24.9,2.1,1.6
23,d,Kentucky,35.4,21.8,0.6,1.1,3.7,6.3
23,d,Louisiana,8.1,5.9,0.2,0.8,1.2,1.3
23,d,Maine,1.9,1.1,0.2,1.8,0.6,0.1
23,d,Maryland,11.8,3.4,0.8,0.3,4.4,0.4
23,d,Massachusetts,6.3,1.1,1,1.5,2,2.1
23,d,Michigan,65.7,16.7,11,11.6,12.9,10
23,d,Minnesota,12.2,8.5,6.7,5.6,7.8,21.7
23,d,Mississippi,44.4,24.1,(Z),0.2,5.1,2.1
23,d,Missouri,11.8,13.2,0.8,1.5,8.3,2.6
23,d,Montana,41.3,4.3,2.8,1.3,1,0.8
23,d,Nebraska,3.9,0.4,0.4,3.2,7.5,4
23,d,New Jersey,16.5,3.3,(Z),0.1,3.4,0.1
23,d,New Mexico,0.3,0.1,0.3,-,0.2,1
23,d,New York,40.8,20.3,15.4,6,17.3,3.6
23,d,North Carolina,9.7,2.6,0.5,2.4,14.6,0.8
23,d,North Dakota,24.7,7.5,4.8,4.7,3.9,4.3
23,d,Ohio,38.8,30.8,1.7,2.7,21.7,1.6
23,d,Oklahoma,60.2,10.9,9.6,26.7,12.4,0.1
23,d,Oregon,45.9,3.5,8.1,6.6,15.5,0.2
23,d,Pennsylvania,31.3,16.2,2.2,2.1,1.6,1.9
23,d,South Carolina,14.3,3.4,0.7,1.6,9.8,2.9
23,d,South Dakota,53.3,42.2,7.7,4,39.4,(Z)
23,d,Tennessee,30,22.9,3,3.4,6.2,2.5
23,d,Texas,26,17.4,7.9,4.4,8.3,14.3
23,d,Utah,43.5,3.7,2,1.7,1.4,1.9
23,d,Vermont,21.8,1.5,0.7,16.7,1.8,0.1
23,d,Virginia,23,19,3.2,1.2,23.3,1.5
23,d,Washington,55.9,9.4,7.6,7.6,7.1,0.6
23,d,West Virginia,13.8,7.5,0.9,2.9,13.6,7.9
23,d,Wisconsin,32.8,16.2,17.8,26.6,29.1,0.9
23,d,Wyoming,11,0.1,2.4,2.3,2.9,4.2